pool_id,x,y
2501,3413242.15,5298277.51
2242,3424822.67,5304936.82
2247,3422351.18,5304411.0
2262,3405056.69,5292654.46
2301,3430252.07,5305859.56
2038,3412563.32,5300550.47
2141,3441765.28,5297505.39
2258,3407855.05,5295928.55
2249,3428575.13,5304906.19
1038,3418426.84,5312078.74
2468,3426218.22,5309130.81
2270,3403063.5,5283974.72
2261,3409185.4,5294274.26
857,3431627.57,5295438.68
2257,3409006.15,5304345.13
2356,3419127.48,5308543.54
2345,3450456.0,5318357.68
2327,3434513.57,5337854.47
2172,3439622.03,5331830.07
1577,3430566.8,5336244.74
1588,3464255.24,5333745.84
2470,3464783.1,5318906.54
1061,3451917.89,5284669.57
1062,3447868.07,5284931.08
1039,3445525.13,5279174.53
1053,3452101.4,5288501.23
1040,3437537.75,5283556.09
2316,3463412.29,5331441.65
2434,3428976.78,5322622.76
1078,3423446.85,5278662.6
2330,3447638.58,5289005.4
2139,3453105.74,5300185.56
2448,3437623.7,5311511.8
2437,3430119.9,5321866.43
2151,3458137.06,5330904.14
920,3456663.46,5335097.47
2320,3460521.89,5331522.39
2446,3435001.51,5316207.95
1199,3422711.87,5289742.28
2456,3422535.49,5281455.07
1364,3438740.6,5284680.23
2443,3438321.37,5318506.23
318,3430544.09,5322732.73
1656,3451754.88,5334964.88
935,3452114.78,5330660.92
1942,3420208.92,5282368.69
1185,3434516.71,5282470.51
2465,3427385.53,5290452.93
2268,3406054.8,5292830.46
1054,3441890.41,5292669.11
1594,3430887.61,5307121.78
1099,3417926.64,5314646.35
2233,3453905.6,5330808.21
1032,3432913.6,5323108.12
1180,3433479.24,5281395.89
1756,3435033.93,5348203.59
641,3423921.26,5320006.59
2170,3440284.33,5326871.6
1733,3429457.25,5331972.22
2225,3449283.38,5335105.01
2273,3402196.79,5283357.22
2228,3455668.34,5332960.31
1348,3447825.93,5341974.29
970,3447482.71,5345224.8
2169,3442997.77,5331992.93
2533,3437707.09,5334666.92
2560,3436667.94,5332664.33
1873,3424708.6,5322054.59
2449,3437439.02,5317733.19
1354,3451760.14,5317714.29
2315,3466467.32,5320579.27
858,3448671.12,5293837.36
2373,3440143.17,5292224.52
2307,3431179.31,5293565.2
1570,3449617.37,5288758.56
1076,3417591.91,5293666.14
2371,3439083.9,5295385.49
2502,3428666.37,5286815.79
2562,3438050.66,5336631.23
2542,3437632.19,5331601.7
1959,3449546.76,5300255.04
1637,3424289.09,5312969.51
